location,date,vaccine,total_vaccinations
Germany,2/3/2021,Oxford/AstraZeneca,274
Germany,2/3/2021,Pfizer/BioNTech,2902949
Germany,2/4/2021,Moderna,54549
Germany,2/4/2021,Oxford/AstraZeneca,280
Germany,2/4/2021,Pfizer/BioNTech,3028706
Germany,2/5/2021,Moderna,60429
Germany,2/5/2021,Oxford/AstraZeneca,287
Germany,2/5/2021,Pfizer/BioNTech,3166612
Germany,2/6/2021,Moderna,62895
Germany,2/6/2021,Oxford/AstraZeneca,288
Germany,2/6/2021,Pfizer/BioNTech,3263605
Germany,2/7/2021,Moderna,65244
Germany,2/7/2021,Oxford/AstraZeneca,290
Germany,2/7/2021,Pfizer/BioNTech,3315107
Germany,2/8/2021,Moderna,69103
Germany,2/8/2021,Oxford/AstraZeneca,309
Germany,2/8/2021,Pfizer/BioNTech,3421274
Germany,2/9/2021,Moderna,72985
Germany,2/9/2021,Oxford/AstraZeneca,419
Germany,2/9/2021,Pfizer/BioNTech,3549832
Germany,2/10/2021,Moderna,76576
Germany,2/10/2021,Oxford/AstraZeneca,7454
Germany,2/10/2021,Pfizer/BioNTech,3688723
Germany,2/11/2021,Moderna,83525
Germany,2/11/2021,Oxford/AstraZeneca,22885
Germany,2/11/2021,Pfizer/BioNTech,3808464
Germany,2/12/2021,Moderna,93018
Germany,2/12/2021,Oxford/AstraZeneca,37118
Germany,2/12/2021,Pfizer/BioNTech,3941090
Germany,2/13/2021,Moderna,96053
Germany,2/13/2021,Oxford/AstraZeneca,49898
Germany,2/13/2021,Pfizer/BioNTech,4033255
Germany,2/14/2021,Moderna,98454
Germany,2/14/2021,Oxford/AstraZeneca,57208
Germany,2/14/2021,Pfizer/BioNTech,4088388
Germany,2/15/2021,Moderna,102851
Germany,2/15/2021,Oxford/AstraZeneca,71948
Germany,2/15/2021,Pfizer/BioNTech,4195836
Germany,2/16/2021,Moderna,108086
Germany,2/16/2021,Oxford/AstraZeneca,95434
Germany,2/16/2021,Pfizer/BioNTech,4301601
Germany,2/17/2021,Moderna,115607
Germany,2/17/2021,Oxford/AstraZeneca,115143
Germany,2/17/2021,Pfizer/BioNTech,4424271
Germany,2/18/2021,Moderna,123368
Germany,2/18/2021,Oxford/AstraZeneca,139537
Germany,2/18/2021,Pfizer/BioNTech,4535747
Germany,2/19/2021,Moderna,132797
Germany,2/19/2021,Oxford/AstraZeneca,164712
Germany,2/19/2021,Pfizer/BioNTech,4653783
Germany,2/20/2021,Moderna,137268
Germany,2/20/2021,Oxford/AstraZeneca,186335
Germany,2/20/2021,Pfizer/BioNTech,4741909
Germany,2/21/2021,Moderna,140496
Germany,2/21/2021,Oxford/AstraZeneca,201637
Germany,2/21/2021,Pfizer/BioNTech,4809201
Germany,2/22/2021,Moderna,149303
Germany,2/22/2021,Oxford/AstraZeneca,226600
Germany,2/22/2021,Pfizer/BioNTech,4936327
Germany,2/23/2021,Moderna,156126
Germany,2/23/2021,Oxford/AstraZeneca,253974
Germany,2/23/2021,Pfizer/BioNTech,5068780
Germany,2/24/2021,Moderna,163650
Germany,2/24/2021,Oxford/AstraZeneca,289208
Germany,2/24/2021,Pfizer/BioNTech,5200554
Germany,2/25/2021,Moderna,170169
Germany,2/25/2021,Oxford/AstraZeneca,340306
Germany,2/25/2021,Pfizer/BioNTech,5331697
Germany,2/26/2021,Moderna,178879
Germany,2/26/2021,Oxford/AstraZeneca,400538
Germany,2/26/2021,Pfizer/BioNTech,5470944
Germany,2/27/2021,Moderna,183070
Germany,2/27/2021,Oxford/AstraZeneca,452003
Germany,2/27/2021,Pfizer/BioNTech,5563755
Germany,2/28/2021,Moderna,187026
Germany,2/28/2021,Oxford/AstraZeneca,493812
Germany,2/28/2021,Pfizer/BioNTech,5626128
Germany,3/1/2021,Moderna,196032
Germany,3/1/2021,Oxford/AstraZeneca,550881
Germany,3/1/2021,Pfizer/BioNTech,5754741
Germany,3/2/2021,Moderna,205711
Germany,3/2/2021,Oxford/AstraZeneca,619513
Germany,3/2/2021,Pfizer/BioNTech,5895263
Germany,3/3/2021,Moderna,219048
Germany,3/3/2021,Oxford/AstraZeneca,692114
Germany,3/3/2021,Pfizer/BioNTech,6051736
Germany,3/4/2021,Moderna,232588
Germany,3/4/2021,Oxford/AstraZeneca,778205
Germany,3/4/2021,Pfizer/BioNTech,6194459
Germany,3/5/2021,Moderna,245399
Germany,3/5/2021,Oxford/AstraZeneca,885641
Germany,3/5/2021,Pfizer/BioNTech,6341511
Germany,3/6/2021,Moderna,253995
Germany,3/6/2021,Oxford/AstraZeneca,968621
Germany,3/6/2021,Pfizer/BioNTech,6452158
Germany,3/7/2021,Moderna,260729
Germany,3/7/2021,Oxford/AstraZeneca,1029755
Germany,3/7/2021,Pfizer/BioNTech,6534932
Germany,3/8/2021,Moderna,271730
Germany,3/8/2021,Oxford/AstraZeneca,1121440
Germany,3/8/2021,Pfizer/BioNTech,6670702
Germany,3/9/2021,Moderna,284413
Germany,3/9/2021,Oxford/AstraZeneca,1218724
Germany,3/9/2021,Pfizer/BioNTech,6810951
Germany,3/10/2021,Moderna,295958
Germany,3/10/2021,Oxford/AstraZeneca,1332981
Germany,3/10/2021,Pfizer/BioNTech,6968250
Germany,3/11/2021,Moderna,309092
Germany,3/11/2021,Oxford/AstraZeneca,1451624
Germany,3/11/2021,Pfizer/BioNTech,7117337
Germany,3/12/2021,Moderna,326389
Germany,3/12/2021,Oxford/AstraZeneca,1603331
Germany,3/12/2021,Pfizer/BioNTech,7269633
Germany,3/13/2021,Moderna,336027
Germany,3/13/2021,Oxford/AstraZeneca,1725013
Germany,3/13/2021,Pfizer/BioNTech,7384170
Germany,3/14/2021,Moderna,341170
Germany,3/14/2021,Oxford/AstraZeneca,1801289
Germany,3/14/2021,Pfizer/BioNTech,7473688
Germany,3/15/2021,Moderna,353491
Germany,3/15/2021,Oxford/AstraZeneca,1884741
Germany,3/15/2021,Pfizer/BioNTech,7625658
Germany,3/16/2021,Moderna,364470
Germany,3/16/2021,Oxford/AstraZeneca,1886648
Germany,3/16/2021,Pfizer/BioNTech,7793170
Germany,3/17/2021,Moderna,381583
Germany,3/17/2021,Oxford/AstraZeneca,1888045
Germany,3/17/2021,Pfizer/BioNTech,7979108
Germany,3/18/2021,Moderna,399141
Germany,3/18/2021,Oxford/AstraZeneca,1889616
Germany,3/18/2021,Pfizer/BioNTech,8154306
Germany,3/19/2021,Moderna,418864
Germany,3/19/2021,Oxford/AstraZeneca,1927868
Germany,3/19/2021,Pfizer/BioNTech,8337998
Germany,3/20/2021,Moderna,434044
Germany,3/20/2021,Oxford/AstraZeneca,1995755
Germany,3/20/2021,Pfizer/BioNTech,8473560
Germany,3/21/2021,Moderna,443212
Germany,3/21/2021,Oxford/AstraZeneca,2048006
Germany,3/21/2021,Pfizer/BioNTech,8577638
Germany,3/22/2021,Moderna,466737
Germany,3/22/2021,Oxford/AstraZeneca,2124581
Germany,3/22/2021,Pfizer/BioNTech,8742830
Germany,3/23/2021,Moderna,486379
Germany,3/23/2021,Oxford/AstraZeneca,2221553
Germany,3/23/2021,Pfizer/BioNTech,8923527
Germany,3/24/2021,Moderna,518916
Germany,3/24/2021,Oxford/AstraZeneca,2324235
Germany,3/24/2021,Pfizer/BioNTech,9120288
Germany,3/25/2021,Moderna,544835
Germany,3/25/2021,Oxford/AstraZeneca,2445125
Germany,3/25/2021,Pfizer/BioNTech,9307709
Germany,3/26/2021,Moderna,579723
Germany,3/26/2021,Oxford/AstraZeneca,2578835
Germany,3/26/2021,Pfizer/BioNTech,9509337
Germany,3/27/2021,Moderna,606816
Germany,3/27/2021,Oxford/AstraZeneca,2685067
Germany,3/27/2021,Pfizer/BioNTech,9660292
Germany,3/28/2021,Moderna,625336
Germany,3/28/2021,Oxford/AstraZeneca,2745060
Germany,3/28/2021,Pfizer/BioNTech,9777621
Germany,3/29/2021,Moderna,650406
Germany,3/29/2021,Oxford/AstraZeneca,2839299
Germany,3/29/2021,Pfizer/BioNTech,9964859
Germany,3/30/2021,Moderna,675805
Germany,3/30/2021,Oxford/AstraZeneca,2924237
Germany,3/30/2021,Pfizer/BioNTech,10178994
Germany,3/31/2021,Moderna,713178
Germany,3/31/2021,Oxford/AstraZeneca,2976590
Germany,3/31/2021,Pfizer/BioNTech,10426774
Germany,4/1/2021,Moderna,744762
Germany,4/1/2021,Oxford/AstraZeneca,3031149
Germany,4/1/2021,Pfizer/BioNTech,10659568
Germany,4/2/2021,Moderna,761220
Germany,4/2/2021,Oxford/AstraZeneca,3062674
Germany,4/2/2021,Pfizer/BioNTech,10840628
Germany,4/3/2021,Moderna,778278
Germany,4/3/2021,Oxford/AstraZeneca,3103751
Germany,4/3/2021,Pfizer/BioNTech,11012279
Germany,4/4/2021,Moderna,789370
Germany,4/4/2021,Oxford/AstraZeneca,3153313
Germany,4/4/2021,Pfizer/BioNTech,11147410
Germany,4/5/2021,Moderna,807258
Germany,4/5/2021,Oxford/AstraZeneca,3216723
Germany,4/5/2021,Pfizer/BioNTech,11315684
Germany,4/6/2021,Moderna,840160
Germany,4/6/2021,Oxford/AstraZeneca,3303435
Germany,4/6/2021,Pfizer/BioNTech,11573388
Germany,4/7/2021,Moderna,875426
Germany,4/7/2021,Oxford/AstraZeneca,3402682
Germany,4/7/2021,Pfizer/BioNTech,12113501
Germany,4/8/2021,Moderna,909849
Germany,4/8/2021,Oxford/AstraZeneca,3526171
Germany,4/8/2021,Pfizer/BioNTech,12683078
Germany,4/9/2021,Moderna,944208
Germany,4/9/2021,Oxford/AstraZeneca,3625586
Germany,4/9/2021,Pfizer/BioNTech,13169396
Germany,4/10/2021,Moderna,966486
Germany,4/10/2021,Oxford/AstraZeneca,3724718
Germany,4/10/2021,Pfizer/BioNTech,13413181
Germany,4/11/2021,Moderna,984456
Germany,4/11/2021,Oxford/AstraZeneca,3798432
Germany,4/11/2021,Pfizer/BioNTech,13578754
Germany,4/12/2021,Moderna,1012280
Germany,4/12/2021,Oxford/AstraZeneca,3906135
Germany,4/12/2021,Pfizer/BioNTech,13855139
Germany,4/13/2021,Moderna,1038374
Germany,4/13/2021,Oxford/AstraZeneca,4020995
Germany,4/13/2021,Pfizer/BioNTech,14281686
Germany,4/14/2021,Moderna,1068764
Germany,4/14/2021,Oxford/AstraZeneca,4143494
Germany,4/14/2021,Pfizer/BioNTech,14895847
Germany,4/15/2021,Moderna,1103466
Germany,4/15/2021,Oxford/AstraZeneca,4251284
Germany,4/15/2021,Pfizer/BioNTech,15417625
Germany,4/16/2021,Moderna,1130287
Germany,4/16/2021,Oxford/AstraZeneca,4370988
Germany,4/16/2021,Pfizer/BioNTech,15831067
Iceland,12/29/2020,Moderna,0
Iceland,12/29/2020,Oxford/AstraZeneca,0
Iceland,12/29/2020,Pfizer/BioNTech,2525
Iceland,12/30/2020,Moderna,0
Iceland,12/30/2020,Oxford/AstraZeneca,0
Iceland,12/30/2020,Pfizer/BioNTech,4941
Iceland,12/31/2020,Moderna,0
Iceland,12/31/2020,Oxford/AstraZeneca,0
Iceland,12/31/2020,Pfizer/BioNTech,4941
Iceland,1/1/2021,Moderna,0
Iceland,1/1/2021,Oxford/AstraZeneca,0
Iceland,1/1/2021,Pfizer/BioNTech,4941
Iceland,1/2/2021,Moderna,0
Iceland,1/2/2021,Oxford/AstraZeneca,0
Iceland,1/2/2021,Pfizer/BioNTech,4941
Iceland,1/3/2021,Moderna,0
Iceland,1/3/2021,Oxford/AstraZeneca,0
Iceland,1/3/2021,Pfizer/BioNTech,4941
Iceland,1/4/2021,Moderna,0
Iceland,1/4/2021,Oxford/AstraZeneca,0
Iceland,1/4/2021,Pfizer/BioNTech,4941
Iceland,1/5/2021,Moderna,0
Iceland,1/5/2021,Oxford/AstraZeneca,0
Iceland,1/5/2021,Pfizer/BioNTech,4948
Iceland,1/6/2021,Moderna,0
Iceland,1/6/2021,Oxford/AstraZeneca,0
Iceland,1/6/2021,Pfizer/BioNTech,4948
Iceland,1/7/2021,Moderna,0
Iceland,1/7/2021,Oxford/AstraZeneca,0
Iceland,1/7/2021,Pfizer/BioNTech,4948
Iceland,1/8/2021,Moderna,0
Iceland,1/8/2021,Oxford/AstraZeneca,0
Iceland,1/8/2021,Pfizer/BioNTech,4948
Iceland,1/9/2021,Moderna,0
Iceland,1/9/2021,Oxford/AstraZeneca,0
Iceland,1/9/2021,Pfizer/BioNTech,4948
Iceland,1/10/2021,Moderna,0
Iceland,1/10/2021,Oxford/AstraZeneca,0
Iceland,1/10/2021,Pfizer/BioNTech,4948
Iceland,1/11/2021,Moderna,0
Iceland,1/11/2021,Oxford/AstraZeneca,0
Iceland,1/11/2021,Pfizer/BioNTech,4948
Iceland,1/12/2021,Moderna,0
Iceland,1/12/2021,Oxford/AstraZeneca,0
Iceland,1/12/2021,Pfizer/BioNTech,4948
Iceland,1/13/2021,Moderna,501
Iceland,1/13/2021,Oxford/AstraZeneca,0
Iceland,1/13/2021,Pfizer/BioNTech,4948
Iceland,1/14/2021,Moderna,843
Iceland,1/14/2021,Oxford/AstraZeneca,0
Iceland,1/14/2021,Pfizer/BioNTech,4948
Iceland,1/15/2021,Moderna,1262
Iceland,1/15/2021,Oxford/AstraZeneca,0
Iceland,1/15/2021,Pfizer/BioNTech,4948
Iceland,1/16/2021,Moderna,1262
Iceland,1/16/2021,Oxford/AstraZeneca,0
Iceland,1/16/2021,Pfizer/BioNTech,4948
Iceland,1/17/2021,Moderna,1262
Iceland,1/17/2021,Oxford/AstraZeneca,0
Iceland,1/17/2021,Pfizer/BioNTech,4948
Iceland,1/18/2021,Moderna,1263
Iceland,1/18/2021,Oxford/AstraZeneca,0
Iceland,1/18/2021,Pfizer/BioNTech,4978
Iceland,1/19/2021,Moderna,1263
Iceland,1/19/2021,Oxford/AstraZeneca,0
Iceland,1/19/2021,Pfizer/BioNTech,6072
Iceland,1/20/2021,Moderna,1263
Iceland,1/20/2021,Oxford/AstraZeneca,0
Iceland,1/20/2021,Pfizer/BioNTech,7834
Iceland,1/21/2021,Moderna,1263
Iceland,1/21/2021,Oxford/AstraZeneca,1
Iceland,1/21/2021,Pfizer/BioNTech,11610
Iceland,1/22/2021,Moderna,1263
Iceland,1/22/2021,Oxford/AstraZeneca,1
Iceland,1/22/2021,Pfizer/BioNTech,13501
Iceland,1/23/2021,Moderna,1263
Iceland,1/23/2021,Oxford/AstraZeneca,1
Iceland,1/23/2021,Pfizer/BioNTech,14050
Iceland,1/24/2021,Moderna,1263
Iceland,1/24/2021,Oxford/AstraZeneca,1
Iceland,1/24/2021,Pfizer/BioNTech,14050
Iceland,1/25/2021,Moderna,1263
Iceland,1/25/2021,Oxford/AstraZeneca,1
Iceland,1/25/2021,Pfizer/BioNTech,14206
Iceland,1/26/2021,Moderna,1263
Iceland,1/26/2021,Oxford/AstraZeneca,1
Iceland,1/26/2021,Pfizer/BioNTech,14313
Iceland,1/27/2021,Moderna,1263
Iceland,1/27/2021,Oxford/AstraZeneca,1
Iceland,1/27/2021,Pfizer/BioNTech,14326
Iceland,1/28/2021,Moderna,1263
Iceland,1/28/2021,Oxford/AstraZeneca,1
Iceland,1/28/2021,Pfizer/BioNTech,14326
Iceland,1/29/2021,Moderna,1263
Iceland,1/29/2021,Oxford/AstraZeneca,1
Iceland,1/29/2021,Pfizer/BioNTech,14327
Iceland,1/30/2021,Moderna,1263
Iceland,1/30/2021,Oxford/AstraZeneca,1
Iceland,1/30/2021,Pfizer/BioNTech,14327
Iceland,1/31/2021,Moderna,1263
Iceland,1/31/2021,Oxford/AstraZeneca,1
Iceland,1/31/2021,Pfizer/BioNTech,14327
Iceland,2/1/2021,Moderna,1263
Iceland,2/1/2021,Oxford/AstraZeneca,1
Iceland,2/1/2021,Pfizer/BioNTech,14764
Iceland,2/2/2021,Moderna,1264
Iceland,2/2/2021,Oxford/AstraZeneca,1
Iceland,2/2/2021,Pfizer/BioNTech,15775
Iceland,2/3/2021,Moderna,1264
Iceland,2/3/2021,Oxford/AstraZeneca,1
Iceland,2/3/2021,Pfizer/BioNTech,16304
Iceland,2/4/2021,Moderna,1264
Iceland,2/4/2021,Oxford/AstraZeneca,1
Iceland,2/4/2021,Pfizer/BioNTech,16343
Iceland,2/5/2021,Moderna,1264
Iceland,2/5/2021,Oxford/AstraZeneca,1
Iceland,2/5/2021,Pfizer/BioNTech,16367
Iceland,2/6/2021,Moderna,1264
Iceland,2/6/2021,Oxford/AstraZeneca,1
Iceland,2/6/2021,Pfizer/BioNTech,16486
Iceland,2/7/2021,Moderna,1264
Iceland,2/7/2021,Oxford/AstraZeneca,1
Iceland,2/7/2021,Pfizer/BioNTech,16486
Iceland,2/8/2021,Moderna,1264
Iceland,2/8/2021,Oxford/AstraZeneca,1
Iceland,2/8/2021,Pfizer/BioNTech,16486
Iceland,2/9/2021,Moderna,1264
Iceland,2/9/2021,Oxford/AstraZeneca,1
Iceland,2/9/2021,Pfizer/BioNTech,16486
Iceland,2/10/2021,Moderna,1814
Iceland,2/10/2021,Oxford/AstraZeneca,1
Iceland,2/10/2021,Pfizer/BioNTech,16487
Iceland,2/11/2021,Moderna,1990
Iceland,2/11/2021,Oxford/AstraZeneca,1209
Iceland,2/11/2021,Pfizer/BioNTech,16487
Iceland,2/12/2021,Moderna,2198
Iceland,2/12/2021,Oxford/AstraZeneca,1209
Iceland,2/12/2021,Pfizer/BioNTech,16501
Iceland,2/13/2021,Moderna,2198
Iceland,2/13/2021,Oxford/AstraZeneca,1209
Iceland,2/13/2021,Pfizer/BioNTech,16501
Iceland,2/14/2021,Moderna,2198
Iceland,2/14/2021,Oxford/AstraZeneca,1209
Iceland,2/14/2021,Pfizer/BioNTech,16501
Iceland,2/15/2021,Moderna,2385
Iceland,2/15/2021,Oxford/AstraZeneca,1209
Iceland,2/15/2021,Pfizer/BioNTech,16501
Iceland,2/16/2021,Moderna,2584
Iceland,2/16/2021,Oxford/AstraZeneca,1253
Iceland,2/16/2021,Pfizer/BioNTech,17796
Iceland,2/17/2021,Moderna,3233
Iceland,2/17/2021,Oxford/AstraZeneca,1516
Iceland,2/17/2021,Pfizer/BioNTech,20223
Iceland,2/18/2021,Moderna,3574
Iceland,2/18/2021,Oxford/AstraZeneca,1595
Iceland,2/18/2021,Pfizer/BioNTech,20670
Iceland,2/19/2021,Moderna,3904
Iceland,2/19/2021,Oxford/AstraZeneca,2719
Iceland,2/19/2021,Pfizer/BioNTech,20854
Iceland,2/20/2021,Moderna,3904
Iceland,2/20/2021,Oxford/AstraZeneca,2719
Iceland,2/20/2021,Pfizer/BioNTech,21204
Iceland,2/21/2021,Moderna,3904
Iceland,2/21/2021,Oxford/AstraZeneca,2719
Iceland,2/21/2021,Pfizer/BioNTech,21204
Iceland,2/22/2021,Moderna,3904
Iceland,2/22/2021,Oxford/AstraZeneca,2836
Iceland,2/22/2021,Pfizer/BioNTech,21230
Iceland,2/23/2021,Moderna,3904
Iceland,2/23/2021,Oxford/AstraZeneca,3156
Iceland,2/23/2021,Pfizer/BioNTech,22601
Iceland,2/24/2021,Moderna,3904
Iceland,2/24/2021,Oxford/AstraZeneca,3726
Iceland,2/24/2021,Pfizer/BioNTech,23912
Iceland,2/25/2021,Moderna,3904
Iceland,2/25/2021,Oxford/AstraZeneca,3936
Iceland,2/25/2021,Pfizer/BioNTech,24429
Iceland,2/26/2021,Moderna,3904
Iceland,2/26/2021,Oxford/AstraZeneca,5157
Iceland,2/26/2021,Pfizer/BioNTech,24588
Iceland,2/27/2021,Moderna,3904
Iceland,2/27/2021,Oxford/AstraZeneca,5157
Iceland,2/27/2021,Pfizer/BioNTech,24747
Iceland,2/28/2021,Moderna,3904
Iceland,2/28/2021,Oxford/AstraZeneca,5157
Iceland,2/28/2021,Pfizer/BioNTech,24747
Iceland,3/1/2021,Moderna,3904
Iceland,3/1/2021,Oxford/AstraZeneca,5253
Iceland,3/1/2021,Pfizer/BioNTech,24747
Iceland,3/2/2021,Moderna,3905
Iceland,3/2/2021,Oxford/AstraZeneca,5379
Iceland,3/2/2021,Pfizer/BioNTech,27104
Iceland,3/3/2021,Moderna,3905
Iceland,3/3/2021,Oxford/AstraZeneca,5491
Iceland,3/3/2021,Pfizer/BioNTech,29856
Iceland,3/4/2021,Moderna,3906
Iceland,3/4/2021,Oxford/AstraZeneca,5856
Iceland,3/4/2021,Pfizer/BioNTech,30037
Iceland,3/5/2021,Moderna,3906
Iceland,3/5/2021,Oxford/AstraZeneca,8147
Iceland,3/5/2021,Pfizer/BioNTech,30037
Iceland,3/6/2021,Moderna,3906
Iceland,3/6/2021,Oxford/AstraZeneca,8147
Iceland,3/6/2021,Pfizer/BioNTech,30037
Iceland,3/7/2021,Moderna,3906
Iceland,3/7/2021,Oxford/AstraZeneca,8147
Iceland,3/7/2021,Pfizer/BioNTech,30037
Iceland,3/8/2021,Moderna,3906
Iceland,3/8/2021,Oxford/AstraZeneca,8150
Iceland,3/8/2021,Pfizer/BioNTech,30038
Iceland,3/9/2021,Moderna,3906
Iceland,3/9/2021,Oxford/AstraZeneca,8290
Iceland,3/9/2021,Pfizer/BioNTech,32713
Iceland,3/10/2021,Moderna,3906
Iceland,3/10/2021,Oxford/AstraZeneca,8895
Iceland,3/10/2021,Pfizer/BioNTech,33298
Iceland,3/11/2021,Moderna,3906
Iceland,3/11/2021,Oxford/AstraZeneca,9280
Iceland,3/11/2021,Pfizer/BioNTech,33722
Iceland,3/12/2021,Moderna,3906
Iceland,3/12/2021,Oxford/AstraZeneca,9280
Iceland,3/12/2021,Pfizer/BioNTech,33916
Iceland,3/13/2021,Moderna,3906
Iceland,3/13/2021,Oxford/AstraZeneca,9280
Iceland,3/13/2021,Pfizer/BioNTech,33916
Iceland,3/14/2021,Moderna,3906
Iceland,3/14/2021,Oxford/AstraZeneca,9280
Iceland,3/14/2021,Pfizer/BioNTech,33916
Iceland,3/15/2021,Moderna,3906
Iceland,3/15/2021,Oxford/AstraZeneca,9280
Iceland,3/15/2021,Pfizer/BioNTech,33935
Iceland,3/16/2021,Moderna,3906
Iceland,3/16/2021,Oxford/AstraZeneca,9280
Iceland,3/16/2021,Pfizer/BioNTech,37168
Iceland,3/17/2021,Moderna,4343
Iceland,3/17/2021,Oxford/AstraZeneca,9280
Iceland,3/17/2021,Pfizer/BioNTech,37695
Iceland,3/18/2021,Moderna,4623
Iceland,3/18/2021,Oxford/AstraZeneca,9280
Iceland,3/18/2021,Pfizer/BioNTech,38734
Iceland,3/19/2021,Moderna,4848
Iceland,3/19/2021,Oxford/AstraZeneca,9280
Iceland,3/19/2021,Pfizer/BioNTech,38920
Iceland,3/20/2021,Moderna,4848
Iceland,3/20/2021,Oxford/AstraZeneca,9280
Iceland,3/20/2021,Pfizer/BioNTech,38920
Iceland,3/21/2021,Moderna,4848
Iceland,3/21/2021,Oxford/AstraZeneca,9280
Iceland,3/21/2021,Pfizer/BioNTech,38921
Iceland,3/22/2021,Moderna,5075
Iceland,3/22/2021,Oxford/AstraZeneca,9280
Iceland,3/22/2021,Pfizer/BioNTech,40544
Iceland,3/23/2021,Moderna,5288
Iceland,3/23/2021,Oxford/AstraZeneca,9289
Iceland,3/23/2021,Pfizer/BioNTech,43489
Iceland,3/24/2021,Moderna,6715
Iceland,3/24/2021,Oxford/AstraZeneca,9289
Iceland,3/24/2021,Pfizer/BioNTech,43929
Iceland,3/25/2021,Moderna,6715
Iceland,3/25/2021,Oxford/AstraZeneca,9322
Iceland,3/25/2021,Pfizer/BioNTech,44371
Iceland,3/26/2021,Moderna,6715
Iceland,3/26/2021,Oxford/AstraZeneca,13963
Iceland,3/26/2021,Pfizer/BioNTech,44802
Iceland,3/27/2021,Moderna,6715
Iceland,3/27/2021,Oxford/AstraZeneca,13963
Iceland,3/27/2021,Pfizer/BioNTech,45187
Iceland,3/28/2021,Moderna,6715
Iceland,3/28/2021,Oxford/AstraZeneca,13963
Iceland,3/28/2021,Pfizer/BioNTech,45519
Iceland,3/29/2021,Moderna,6715
Iceland,3/29/2021,Oxford/AstraZeneca,14975
Iceland,3/29/2021,Pfizer/BioNTech,46379
Iceland,3/30/2021,Moderna,6715
Iceland,3/30/2021,Oxford/AstraZeneca,16436
Iceland,3/30/2021,Pfizer/BioNTech,49880
Iceland,3/31/2021,Moderna,6715
Iceland,3/31/2021,Oxford/AstraZeneca,17232
Iceland,3/31/2021,Pfizer/BioNTech,50713
Iceland,4/1/2021,Moderna,6715
Iceland,4/1/2021,Oxford/AstraZeneca,17232
Iceland,4/1/2021,Pfizer/BioNTech,50713
Iceland,4/2/2021,Moderna,6715
Iceland,4/2/2021,Oxford/AstraZeneca,17232
Iceland,4/2/2021,Pfizer/BioNTech,50713
Iceland,4/3/2021,Moderna,6715
Iceland,4/3/2021,Oxford/AstraZeneca,17232
Iceland,4/3/2021,Pfizer/BioNTech,50713
Iceland,4/4/2021,Moderna,6715
Iceland,4/4/2021,Oxford/AstraZeneca,17232
Iceland,4/4/2021,Pfizer/BioNTech,50713
Iceland,4/5/2021,Moderna,6715
Iceland,4/5/2021,Oxford/AstraZeneca,17232
Iceland,4/5/2021,Pfizer/BioNTech,50713
Iceland,4/6/2021,Moderna,6715
Iceland,4/6/2021,Oxford/AstraZeneca,17232
Iceland,4/6/2021,Pfizer/BioNTech,50713
Iceland,4/7/2021,Moderna,6715
Iceland,4/7/2021,Oxford/AstraZeneca,18054
Iceland,4/7/2021,Pfizer/BioNTech,55002
Iceland,4/8/2021,Moderna,6715
Iceland,4/8/2021,Oxford/AstraZeneca,22356
Iceland,4/8/2021,Pfizer/BioNTech,57340
Iceland,4/9/2021,Moderna,8153
Iceland,4/9/2021,Oxford/AstraZeneca,22726
Iceland,4/9/2021,Pfizer/BioNTech,57833
Iceland,4/10/2021,Moderna,8153
Iceland,4/10/2021,Oxford/AstraZeneca,23239
Iceland,4/10/2021,Pfizer/BioNTech,57851
Iceland,4/11/2021,Moderna,8153
Iceland,4/11/2021,Oxford/AstraZeneca,23239
Iceland,4/11/2021,Pfizer/BioNTech,57851
Iceland,4/12/2021,Moderna,8153
Iceland,4/12/2021,Oxford/AstraZeneca,23261
Iceland,4/12/2021,Pfizer/BioNTech,57851
Iceland,4/13/2021,Moderna,8153
Iceland,4/13/2021,Oxford/AstraZeneca,23281
Iceland,4/13/2021,Pfizer/BioNTech,64029
Iceland,4/14/2021,Moderna,8153
Iceland,4/14/2021,Oxford/AstraZeneca,23783
Iceland,4/14/2021,Pfizer/BioNTech,65483
Iceland,4/15/2021,Moderna,8153
Iceland,4/15/2021,Oxford/AstraZeneca,23898
Iceland,4/15/2021,Pfizer/BioNTech,66621
Italy,12/27/2020,Pfizer/BioNTech,7169
Italy,12/28/2020,Pfizer/BioNTech,8590
Italy,12/29/2020,Pfizer/BioNTech,9595
Italy,12/30/2020,Pfizer/BioNTech,14322
Italy,12/31/2020,Pfizer/BioNTech,39798
Italy,1/1/2021,Pfizer/BioNTech,50852
Italy,1/2/2021,Pfizer/BioNTech,89366
Italy,1/3/2021,Pfizer/BioNTech,124526
Italy,1/4/2021,Pfizer/BioNTech,193259
Italy,1/5/2021,Pfizer/BioNTech,272928
Italy,1/6/2021,Pfizer/BioNTech,338113
Italy,1/7/2021,Pfizer/BioNTech,430345
Italy,1/8/2021,Moderna,1
Italy,1/8/2021,Pfizer/BioNTech,525921
Italy,1/9/2021,Pfizer/BioNTech,612812
Italy,1/10/2021,Pfizer/BioNTech,673158
Italy,1/11/2021,Pfizer/BioNTech,754075
Italy,1/12/2021,Pfizer/BioNTech,836054
Italy,1/13/2021,Moderna,2
Italy,1/13/2021,Pfizer/BioNTech,930442
Italy,1/14/2021,Moderna,86
Italy,1/14/2021,Pfizer/BioNTech,1023850
Italy,1/15/2021,Moderna,1180
Italy,1/15/2021,Pfizer/BioNTech,1112035
